sr_no,member_name,state,party,term,vacation_reason,from_date,to_date,,
132,Azmi Maulana Obaidullah Khan,Uttar Pradesh,JD,03/04/1990 02/04/1996,Retirement,03/04/90,02/04/96,,
132,Azmi Maulana Obaidullah Khan,Bihar,JD,10/04/1996 14/11/2000,Reorganisation of the State,10/04/96,14/11/00,,
132,Azmi Maulana Obaidullah Khan,Madhya Pradesh,INC,10/04/2002 09/04/2008,Retirement,10/04/02,09/04/08,,
1,Babar Dr. Sarojini,Maharashtra,Congress,03/04/1968 02/04/1974,Retirement,03/04/68,02/04/74,,
2,Baby Shri M.A.,Kerala,CPI(M),03/04/1986 02/04/1992,Retirement,03/04/86,02/04/92,,
2,Baby Shri M.A.,Kerala,CPI(M),03/04/1992 02/04/1998,Retirement,03/04/92,02/04/98,,
3,Bachani Shri Lekhraj,Gujarat,BJP,03/04/2000 02/04/2006,Retirement,03/04/00,02/04/06,,
4,Bachchan Dr. Harivansh Rai,Nominated,NOM.,03/04/1966 02/04/1972,Retirement,03/04/66,02/04/72,,
5,Badnore Shri V.P. Singh,Rajasthan,INC,05/07/2010 04/07/2016,Retirement,05/07/10,04/07/16,,
6,Bagaitkar Shri Sadasiv,Maharashtra,JP,03/04/1978 02/04/1984,"05/12/1983
Death",03/04/78,02/04/84,,
7,Bagchi Shri Chandan K.,Bihar,CONG(I),12/04/1983 09/04/1984,Retirement,12/04/83,09/04/84,,
8,Baghel Dr. K.C.,Madhya Pradesh,IND.,03/04/1964 02/04/1970,"22/02/1969
Death",03/04/64,02/04/70,,
9,Baghel Prof. S.P.Singh,Uttar Pradesh,BSP,05/07/2010 04/07/2016,"12/03/2014
Resignation",05/07/10,04/07/16,,
10,Bagrodia Shri Santosh,Rajasthan,CONG(I),05/07/1986 04/07/1992,Retirement,05/07/86,04/07/92,,
8,Bagrodia Shri Santosh,Rajasthan,INC,05/07/1998 04/07/2004,Retirement,05/07/98,04/07/04,,
9,Bagrodia Shri Santosh,Rajasthan,INC,05/07/2004 04/07/2010,Retirement,05/07/04,04/07/10,,
11,Baharul Islam Shri,Assam,Congress,03/04/1962 02/04/1968,Retirement,03/04/62,02/04/68,,
