s_no,member_name,state,party,term,vacate_reason
45,Barbora Shri Golap,Assam,SSP,03/04/1968 02/04/1974,Retirement
46,Barik Shri Rahasbihari,Odisha,JD,03/04/1994 02/04/2000,Retirement
47,Barlingay Dr. Waman Sheodas,Madhya Pradesh,Congress,13/04/1952 02/04/1956,Retirement
47,Barlingay Dr. Waman Sheodas,Maharashtra,Congress,03/04/1956 02/04/1962,Retirement
48,Barman Shri Debendra Nath,West Bengal,CPI(M),10/07/1981 09/07/1987,Retirement
49,Barman Shri Prasenjit,West Bengal,CONG(I),03/04/1976 02/04/1982,Retirement
50,Barongpa Shri Sushil,Himachal Pradesh,CONG(I),03/04/1988 02/04/1994,Retirement
50,Barongpa Shri Sushil,Himachal Pradesh,CONG(I),03/04/1994 02/04/2000,Retirement
51,Barooah Shri Lila Dhar,Assam,Congress,27/08/1958 02/04/1960,Retirement
51,Barooah Shri Lila Dhar,Assam,Congress,03/04/1960 02/04/1966,Retirement
52,Barot Shri Jayantilal,Gujarat,BJP,10/04/2002 09/04/2008,Retirement
53,Barthakur Smt. Usha,Assam,Congress,03/04/1966 02/04/1972,Retirement
54,Barupal Smt. Jamana Devi,Rajasthan,INC,04/04/2000 03/04/2006,Retirement
55,Basar Shri Todak,Arunachal Pradesh,Congress,27/05/1972 26/05/1978,Retirement
56,Basavapunnaiah Shri Makkineni,Madras,Communist,03/04/1952 02/04/1954,Retirement
56,Basavapunnaiah Shri Makkineni,Andhra Pradesh,Communist,03/04/1954 02/04/1960,Retirement
56,Basavapunnaiah Shri Makkineni,Andhra Pradesh,Communist,03/04/1960 02/04/1966,Retirement
57,Basavaraj Shri H.R.,Karnataka,CONG(I),10/04/1978 09/04/1984,"17/01/1980
Resignation"
58,Basavaraju Shri M.,Karnataka,CONG(I),03/04/1980 02/04/1986,Retirement
59,Basha Shri S.M. Laljan,Andhra Pradesh,TDP,10/04/2002 09/04/2008,Retirement
60,Basheer Shri Thalekkunnil,Kerala,CONG(I),20/07/1977 21/04/1979,Retirement
60,Basheer Shri Thalekkunnil,Kerala,CONG(I),22/04/1979 21/04/1985,29/12/84
61,Basu Shri Chitta,West Bengal,FB,03/04/1966 02/04/1972,Retirement
